(-170.68261638113353, 138.86368388347103)
(-166.35425535260947, 89.79979399684709)
(-158.03996692123576, 39.68120854314617)
(-147.68477408084277, -7.465053039701274)
(-131.28905208355386, -51.69378013180301)
(-104.81208414641151, -90.06004355235962)
(-74.23961004620364, -121.4817530442399)
(-40.612628004980394, -148.9449298233244)
(-0.6985645963757179, -155.49226074621834)
(35.43503158478393, -145.9863032974979)
(63.8296278257028, -117.3725495361474)
(91.2791072597604, -84.74547368189326)
(114.82484336113015, -45.06426513874726)
(130.42611934685448, -1.2738530875085985)
(141.05525908778696, 44.584858062803164)
(145.7123563969584, 92.52556565721511)
(146.3698289582532, 140.521062631735)
(-57.32338893788972, -54.7071960377375)
(-33.18866700036003, -45.03687044869332)
(-12.09475565881877, -38.32517138547553)
(0.8355380466454676, -43.50276780567208)
(17.916127295283104, -37.73618554931568)
(35.80485990051227, -45.981987255554486)
(55.707102224706716, -53.25527746487808)
(36.407543081699146, -74.99296402268726)
(17.25865473398835, -85.73168252383562)
(0.21915752043156544, -88.49854621928444)
(-15.751946781021047, -86.2795763249145)
(-34.6268882281924, -77.02017108667951)
(-46.33811822625589, -55.85777302000338)
(-13.32751671124646, -55.30987921892449)
(0.6437752162678407, -57.501454423240375)
(17.68327242982457, -54.734590727791556)
(44.69443682301892, -54.104512856550514)
(17.601088359662697, -60.73402784960649)
(0.5615911461059682, -63.50089154505531)
(-14.395909623350576, -60.29571280874325)
